Input Size,full_attn,sparse_attn,no_compress_mlp,no_coarse_q_attn,no_coarse_q_attn_no_coarse_q_importance,ball_attn,no_group_sel,no_group_sel_no_rot,no_rot
3586,37.665011730194095,23.252620754241942,31.624872636795043,36.469414253234866,42.14268842697143,15.791260948181153,66.98558650970459,64.39315208435059,33.46960403442383
256,9.958009142875671,21.824155817031862,29.681880588531495,34.46865537643433,33.4196177482605,14.570715699195862,32.7986427116394,30.6776256275177,32.55038537979126
512,9.778074083328248,21.370238275527953,29.56803379058838,34.35708499908447,33.32113523483277,14.442415208816529,32.73433200836182,30.549151554107667,32.483294830322265
1024,9.768114714622497,20.481154747009278,29.105204610824586,32.29556056976318,31.474835834503175,14.403780674934387,30.808453855514525,28.614974422454836,30.336749000549318
2048,13.707648820877075,21.132762670516968,29.46347583770752,32.934520931243895,32.196034622192386,15.003903613090515,31.611333856582643,29.24572464942932,30.68137358665466
4096,37.821527290344235,23.417129821777344,31.673488311767578,36.52772741317749,42.29978525161743,15.937746448516846,66.92052406311035,64.36721210479736,33.4118837928772
8192,132.70620933532715,43.14087310791015,56.33554500579834,70.75400703430176,104.80186328887939,19.682371463775635,155.98654235839842,152.51163772583007,53.87699478149414
16384,494.3802366638184,94.66729671478271,124.58553611755372,177.5240370941162,315.8390953063965,32.46568738937378,451.7363325500488,445.57781799316405,120.79730976104736
32768,1899.9250439453126,245.07135284423828,326.36053817749024,528.6120840454101,1239.1552899169922,62.79701730728149,1713.304896850586,1700.8164080810548,319.50101028442384
65536,7484.721494140625,958.0360049438476,950.6468713378906,1756.062682495117,,126.18637130737305,,,937.0898095703125
